FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
21  1.4480  1.4380 7.1E-05 0.06742 0.99797 0.876 0.781 0.246 0.074 0.021 0.007 0.002
22  1.7670  1.4310 4.6E-04 0.03463 0.97940 0.678 0.673 0.166 0.040 0.009 0.003 0.001
23  2.0390  1.4200 1.1E-03 0.02077 0.92929 0.548 0.617 0.126 0.024 0.005 0.001 0.000
24  2.3090  1.4020 1.9E-03 0.01337 0.83893 0.449 0.580 0.099 0.016 0.003 0.001 0.000
25  2.7480  1.3530 2.6E-02 0.02383 0.16077 0.327 0.546 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3350 1.6E-01 0.09434 0.01944 0.219 0.521 0.048 0.004 0.000 0.000 0.000
27  5.3620  1.4160 2.0E-01 0.06739 0.00709 0.100 0.505 0.020 0.001 0.000 0.000 0.000
Bkgd280K90  0.1308  0.0245  1.8306   280.0    90.0
 5  0.2020  1.5000 0.0E+00 2.95317 1.00000 2.106 2.630 2.414 2.160 1.750 1.410 1.108
 6  0.2080  1.5000 0.0E+00 2.92187 1.00000 2.106 2.616 2.392 2.123 1.706 1.364 1.063
 7  0.2110  1.5000 0.0E+00 2.90640 1.00000 2.106 2.609 2.381 2.105 1.686 1.343 1.041
 8  0.2140  1.5000 0.0E+00 2.88962 1.00000 2.106 2.603 2.372 2.087 1.666 1.321 1.021
 9  0.2620  1.4660 0.0E+00 2.40697 1.00000 2.143 2.572 2.302 1.923 1.471 1.103 0.812
10  0.2670  1.4630 0.0E+00 2.34937 1.00000 2.144 2.562 2.285 1.899 1.444 1.076 0.788
11  0.2770  1.4580 0.0E+00 2.24036 1.00000 2.142 2.542 2.250 1.849 1.389 1.022 0.739
12  0.2950  1.4510 0.0E+00 2.06084 1.00000 2.134 2.501 2.180 1.755 1.291 0.928 0.653
13  0.3030  1.4480 0.0E+00 1.97734 1.00000 2.129 2.479 2.144 1.711 1.244 0.885 0.617
14  0.3100  1.4480 0.0E+00 1.92501 1.00000 2.123 2.456 2.109 1.669 1.204 0.849 0.587
15  0.3160  1.4500 0.0E+00 1.88668 1.00000 2.112 2.430 2.071 1.626 1.162 0.814 0.558
16  0.3330  1.4460 0.0E+00 1.74636 1.00000 2.101 2.386 2.004 1.546 1.086 0.747 0.504
17  0.4290  1.4330 0.0E+00 1.15471 1.00000 2.007 2.132 1.652 1.174 0.764 0.496 0.318
18  0.6310  1.4250 8.9E-09 0.54343 1.00000 1.739 1.643 1.058 0.638 0.352 0.197 0.103
19  0.9730  1.4180 1.1E-06 0.18814 0.99998 1.301 1.120 0.532 0.239 0.095 0.039 0.015
20  1.2700  1.4110 6.6E-06 0.08724 0.99983 1.005 0.874 0.321 0.112 0.036 0.012 0.004
21  1.4480  1.4200 7.1E-05 0.06172 0.99779 0.870 0.780 0.247 0.074 0.021 0.007 0.002
22  1.7670  1.4130 4.6E-04 0.03171 0.97751 0.672 0.672 0.167 0.040 0.009 0.003 0.001
23  2.0390  1.4030 1.1E-03 0.01923 0.92334 0.543 0.616 0.127 0.024 0.005 0.001 0.000
24  2.3090  1.3850 1.9E-03 0.01299 0.82625 0.444 0.579 0.100 0.016 0.003 0.001 0.000
25  2.7480  1.3390 2.6E-02 0.02369 0.14995 0.325 0.545 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3200 1.6E-01 0.09107 0.01852 0.218 0.520 0.048 0.004 0.000 0.000 0.000
27  5.3620  1.3990 1.9E-01 0.06523 0.00681 0.100 0.504 0.020 0.001 0.000 0.000 0.000
Volc220K50  0.4218  0.2177  1.4572   220.0    50.0
 5  0.2020  1.4740 0.0E+00 2.62345 1.00000 2.234 3.245 3.420 4.045 4.082 4.474 4.549
 6  0.2080  1.4740 0.0E+00 2.63499 1.00000 2.227 3.237 3.403 4.028 4.044 4.431 4.477
 7  0.2110  1.4740 0.0E+00 2.63980 1.00000 2.225 3.233 3.400 4.019 4.033 4.409 4.456
 8  0.2140  1.4740 0.0E+00 2.63857 1.00000 2.226 3.232 3.401 4.008 4.022 4.385 4.433
 9  0.2620  1.4410 0.0E+00 2.54750 1.00000 2.165 3.112 3.194 3.679 3.668 3.919 3.994
10  0.2670  1.4380 0.0E+00 2.53309 1.00000 2.147 3.079 3.140 3.619 3.601 3.852 3.920
11  0.2770  1.4340 0.0E+00 2.49566 1.00000 2.130 3.035 3.061 3.490 3.461 3.686 3.766
12  0.2950  1.4260 0.0E+00 2.44345 1.00000 2.103 2.955 2.918 3.261 3.205 3.384 3.471
13  0.3030  1.4230 0.0E+00 2.42744 1.00000 2.093 2.922 2.860 3.160 3.091 3.246 3.333
14  0.3100  1.4230 0.0E+00 2.42130 1.00000 2.085 2.896 2.816 3.092 3.013 3.154 3.238
15  0.3160  1.4250 0.0E+00 2.41939 1.00000 2.077 2.873 2.776 3.035 2.948 3.079 3.161
16  0.3330  1.4230 0.0E+00 2.41942 1.00000 2.070 2.829 2.703 2.901 2.794 2.884 2.954
17  0.4290  1.4120 0.0E+00 2.69247 1.00000 2.154 2.831 2.754 2.765 2.615 2.494 2.404
18  0.6310  1.4030 2.3E-08 2.96037 1.00000 2.215 2.823 2.823 2.672 2.362 1.951 1.554
19  0.9730  1.3960 1.9E-06 2.01933 0.99998 2.012 2.400 2.109 1.633 1.106 0.685 0.376
20  1.2700  1.3900 1.0E-05 1.27311 0.99988 1.830 1.977 1.433 0.898 0.463 0.222 0.090
21  1.4480  1.3930 1.2E-04 0.99153 0.99823 1.724 1.737 1.107 0.611 0.269 0.111 0.038
22  1.7670  1.3850 3.6E-04 0.60133 0.99168 1.537 1.382 0.702 0.311 0.106 0.033 0.009
